# FOFEM Species File - Updated DCL Feb. 16 2017
# This file is used in conjunction with the FOFEM tree mortality option
#
# Mort = Pre-Fire mortality equation number
# Brk  = Bark Equation
# Reg  = Region
#          Interior West   1
#          Pacific West    2
#          North East      3
#          South East      4
# Crn  = Crown Coefficient code used to calculate stand canopy cover
# PF   = Post-Fire mortality equation code. See Note-1 below.
# P    = A "P" in this column will cause the species to be displayed
#        in only the list of post-fire mortality equations
#
# Note-1: Ponderosa pine and Jeffrey pine have two post-fire mortality
#         equations. Equation code "PP" corresponds to the mortality
#         equation that uses crown volume scorched and equation code
#        "PK" corresponds to the mortality equation that uses
#         crown volume killed (bud kill). Species codes for ponderosa 
#        pine and Jeffrey pine that end in "K" are assigned to the
#         equations that use crown volume killed (bud kill) in the
#         mortality equation. E.g. PIPOK and PIJEK use crown kill
# 	  to estimate mortality.
#
#,Species,Name,Mort,Brk,Reg-1,Reg-2,Reg-3,Reg-4,Crn,PF,P
323,PIPOS2K,Pinus ponderosa -- Ponderosa pine,19,36,1,2,,,15,PK,P
324,PIPOW2K,Pinus ponderosa -- Washoe pine,19,36,1,2,,,15,PK,P
325,PIPOWK,Pinus ponderosa -- Washoe pine,19,36,1,2,,,15,PK,P
326,PIPU5,Pinus pungens -- Table mountain pine,1,19,,,3,4,11,, 
327,PIRE,Pinus resinosa -- Red pine,1,22,,,3,4,11,, 
328,PIRI,Pinus rigida -- Pitch pine,1,24,,,3,4,11,, 
329,PISA2,Pinus sabiniana -- Gray pine,1,12,,2,,,15,, 
330,PISE,Pinus serotina -- Pond pine,1,35,,,3,4,11,, 
331,PINSPP,Pinus species -- Pines,1,9,,,3,4,11,, 
332,PIST,Pinus strobus -- Eastern white pine,1,24,,,3,4,14,, 
333,PISY,Pinus sylvestris -- Scots pine,1,9,,,3,4,11,, 
334,PITA,Pinus taeda -- Loblolly pine,1,30,,,3,4,15,, 
335,PIVI2,Pinus virginiana -- Virginia pine,1,12,,,3,4,11,, 
336,PLOC,Platanus occidentalis -- American sycamore,1,12,,,3,4,39,, 
337,PLOCG,Platanus occidentalis -- American sycamore,1,12,,,3,4,39,, 
338,POBA2,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
339,POBAB2,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
340,POBAC2,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
341,POBAF,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
342,POBAL,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
343,POBAM,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
344,POBAS2,Populus balsamifera -- Balsam poplar,1,19,,,3,4,27,, 
345,POBAT,Populus balsamifera -- Black cottonwood,1,23,,2,,,27,, 
346,POBAC3,Populus balsamifera -- Black cottonwood,1,23,,2,,,27,, 
347,PODE3,Populus deltoides -- Eastern cottonwood,1,19,,,3,4,27,, 
348,PODED,Populus deltoides -- Eastern cottonwood,1,19,,,3,4,27,, 
349,PODEA,Populus deltoides -- Eastern cottonwood,1,19,,,3,4,27,, 
350,PODEM2,Populus deltoides -- Eastern cottonwood,1,19,,,3,4,27,, 
351,PODEP,Populus deltoides -- Eastern cottonwood,1,19,,,3,4,27,, 
352,PODEV,Populus deltoides -- Eastern cottonwood,1,19,,,3,4,27,, 
353,PODEM,Populus deltoides -- Plains cottonwood,1,19,,,3,4,27,, 
354,PODEO,Populus deltoides -- Plains cottonwood,1,19,,,3,4,27,, 
355,PODEW,Populus deltoides -- Rio Grande cottonwood,1,19,,,3,4,27,, 
356,PODEW3,Populus deltoides -- Rio Grande cottonwood,1,19,,,3,4,27,, 
357,POGR4,Populus grandidentata -- Bigtooth aspen,1,18,,,3,4,26,, 
358,POGRA2,Populus grandidentata -- Bigtooth aspen,1,18,,,3,4,26,, 
359,POGRM4,Populus grandidentata -- Bigtooth aspen,1,18,,,3,4,26,, 
360,POGRS,Populus grandidentata -- Bigtooth aspen,1,18,,,3,4,26,, 
361,POHE4,Populus heterophylla -- Swamp cottonwood,1,29,,,3,4,27,, 
362,POPSPP,Populus species -- Poplars,1,17,,,3,4,27,, 
363,POTR5,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
364,POTRA,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
365,POTR5,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
366,POTRC2,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
367,POTR12,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
368,POTRM,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
369,POTRR,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
370,POTRV,Populus tremuloides -- Quaking aspen,4,23,1,2,3,4,26,, 
371,POTR15,Populus trichocarpa -- Black cottonwood,1,23,,2,,,27,, 
372,POTRH,Populus trichocarpa -- Black cottonwood,1,23,,2,,,27,, 
373,POTRC,Populus trichocarpa -- Black cottonwood,1,23,,2,,,27,, 
374,POTRH2,Populus trichocarpa -- Black cottonwood,1,23,,2,,,27,, 
375,POTRI,Populus trichocarpa -- Black cottonwood,1,23,,2,,,27,, 
376,PRAM,Prunus americana -- American plum,1,19,,,3,,39,, 
377,PREM,Prunus emarginata -- Bitter cherry,1,35,,2,,,36,, 
378,PREME,Prunus emarginata -- Bitter cherry,1,35,,2,,,36,, 
379,PREMC,Prunus emarginata -- Bitter cherry,1,35,,2,,,36,, 
380,PREMM,Prunus emarginata -- Bitter cherry,1,35,,2,,,36,, 
381,PRPE2,Prunus pensylvanica -- Pin cherry,1,24,,,3,4,36,, 
382,PRPEP,Prunus pensylvanica -- Pin cherry,1,24,,,3,4,36,, 
383,PRPES,Prunus pensylvanica -- Pin cherry,1,24,,,3,4,36,, 
384,PRPEC,Prunus pensylvanica -- Pin cherry,1,24,,,3,4,36,, 
385,PRSE2,Prunus serotina -- Black cherry,1,9,,,3,4,36,, 
386,PRSEE,Prunus serotina -- Black cherry,1,9,,,3,4,36,, 
387,PRSEE2,Prunus serotina -- Black cherry,1,9,,,3,4,36,, 
388,PRSER2,Prunus serotina -- Black cherry,1,9,,,3,4,36,, 
389,PRSES,Prunus serotina -- Black cherry,1,9,,,3,4,36,, 
390,PRSEV,Prunus serotina -- Black cherry,1,9,,,3,4,36,, 
391,PRUSPP,Prunus species -- Cherries,1,29,,,3,4,36,, 
392,PRVI,Prunus virginiana -- Chokecherry,1,19,,,3,,36,, 
393,PRVID,Prunus virginiana -- Western chokecherry,1,19,,,3,,36,, 
394,PRVID2,Prunus virginiana -- Chokecherry,1,19,,,3,,36,, 
395,PRVIM,Prunus virginiana -- Black chokecherry,1,19,,,3,,36,, 
396,PRVIM2,Prunus virginiana -- Chokecherry,1,19,,,3,,36,, 
397,PRVIV,Prunus virginiana -- Chokecherry,1,19,,,3,,36,, 
398,PSME,Pseudotsuga menziesii -- Douglas-fir,20,36,1,2,,,16,DF, 
399,PSMEG,Pseudotsuga menziesii -- Rocky Mtn Douglas-fir,20,36,1,2,,,16,DF, 
400,PSMEF,Pseudotsuga menziesii -- Douglas-fir,20,36,1,2,,,16,DF, 
401,PSMEM,Pseudotsuga menziesii -- Douglas-fir,20,36,1,2,,,16,DF, 
402,QUAG,Quercus agrifolia -- California live oak,1,29,,2,,,28,, 
403,QUAGA,Quercus agrifolia -- California live oak,1,29,,2,,,28,, 
404,QUAGO,Quercus agrifolia -- Coastal live oak,1,29,,2,,,28,, 
405,QUAL,Quercus alba -- White oak,1,19,,,3,4,28,, 
406,QUALS,Quercus alba -- White oak,1,19,,,3,4,28,, 
407,QUALS2,Quercus alba -- White oak,1,19,,,3,4,28,, 
408,QUBI,Quercus bicolor -- Swamp white oak,1,24,,,3,4,28,, 
409,QUCH2,Quercus chrysolepis -- Canyon live oak,1,3,,2,,,28,, 
410,QUCHC,Quercus chrysolepis -- Canyon live oak,1,3,,2,,,28,, 
411,QUCHN,Quercus chrysolepis -- Canyon live oak,1,3,,2,,,28,, 
412,QUCO2,Quercus coccinea -- Scarlet oak,1,19,,,3,4,28,, 
413,QUCOC,Quercus coccinea -- Scarlet oak,1,19,,,3,4,28,, 
414,QUCOT,Quercus coccinea -- Scarlet oak,1,19,,,3,4,28,, 
415,QUDU,Quercus douglasii -- Blue oak,1,12,,2,,,28,, 
416,QUEL,Quercus ellipsoidalis -- Northern pin oak,1,17,,,3,4,28,, 
417,QUEN,Quercus engelmannii -- Engelmann oak,1,33,,2,,,28,, 
418,QUFA,Quercus falcata -- Southern red oak,1,23,,,3,4,28,, 
419,QUFAT,Quercus falcata -- Southern red oak,1,23,,,3,4,28,, 
420,QUGA4,Quercus garryana -- Oregon white oak,1,8,,2,,,28,, 
421,QUGAG2,Quercus garryana -- Oregon white oak,1,8,,2,,,28,, 
422,QUGAS,Quercus garryana -- Oregon white oak,1,8,,2,,,28,, 
423,QUIM,Quercus imbricaria -- Shingle oak,1,20,,,3,4,28,, 
424,QUIN,Quercus incana -- Bluejack oak,1,17,,,,4,28,, 
425,QUKE,Quercus kelloggii -- Califonia black oak,1,9,,2,,,28,, 
426,QULA2,Quercus laevis -- Turkey oak,1,16,,,,4,28,, 
427,QULA3,Quercus laurifolia -- Laurel oak,1,15,,,,4,28,, 
428,QULO,Quercus lobata -- Valley oak,1,22,,2,,,28,, 
429,QULOA,Quercus lobata -- Valley oak,1,22,,2,,,28,, 
430,QULOI,Quercus lobata -- Valley oak,1,22,,2,,,28,, 
431,QULOT,Quercus lobata -- Valley oak,1,22,,2,,,28,, 
432,QULOW,Quercus lobata -- Valley oak,1,22,,2,,,28,, 
433,QULY,Quercus lyrata -- Overcup oak,1,18,,,3,4,28,, 
434,QUMA2,Quercus macrocarpa -- Bur oak,1,21,,,3,4,28,, 
435,QUMAD,Quercus macrocarpa -- Bur oak,1,21,,,3,4,28,, 
436,QUMAM,Quercus macrocarpa -- Bur oak,1,21,,,3,4,28,, 
437,QUMAO,Quercus macrocarpa -- Bur oak,1,21,,,3,4,28,, 
438,QUMA3,Quercus marilandica -- Blackjack oak,1,16,,,3,4,28,, 
439,QUMAA2,Quercus marilandica -- Blackjack oak,1,16,,,3,4,28,, 
440,QUMAA,Quercus marilandica -- Blackjack oak,1,16,,,3,4,28,, 
441,QUMAM2,Quercus marilandica -- Blackjack oak,1,16,,,3,4,28,, 
442,QUMI,Quercus michauxii -- Swamp chestnut oak,1,25,,,3,4,28,, 
443,QUPR4,Quercus michauxii -- Swamp chestnut oak,1,25,,,3,4,28,, 
444,QUMU,Quercus muehlenbergii -- Chinkapin oak,1,21,,,3,4,28,, 
445,QUNI,Quercus nigra -- Water oak,1,15,,,3,4,28,, 
446,QUNIH,Quercus nigra -- Water oak,1,15,,,3,4,28,, 
447,QUNU,Quercus nuttallii -- Nuttall oak,1,9,,,,4,28,, 
448,QUNUC,Quercus nuttallii -- Nuttall oak,1,9,,,,4,28,, 
449,QUTE,Quercus texana -- Texas red oak,1,9,,,,4,28,, 
450,QUPA2,Quercus palustris -- Pin oak,1,20,,,3,4,28,, 
451,QUPH,Quercus phellos -- Willow oak,1,20,,,3,4,28,, 
452,QUPR2,Quercus prinus -- Chestnut oak,1,28,,,3,4,28,, 
453,QURU,Quercus rubra -- Northern red oak,1,21,,,3,4,28,, 
454,QURUA,Quercus rubra -- Northern red oak,1,21,,,3,4,28,, 
455,QURUB,Quercus rubra -- Northern red oak,1,21,,,3,4,28,, 
456,QURUR,Quercus rubra -- Northern red oak,1,21,,,3,4,28,, 
457,QUSH,Quercus shumardii -- Shumard's k,1,16,,,3,4,28,, 
458,QUSHS,Quercus shumardii -- Shneck oak,1,16,,,3,4,28,, 
459,QUSHS2,Quercus shumardii -- Shumard oak,1,16,,,3,4,28,, 
460,QUSHS3,Quercus shumardii -- Shumard oak,1,16,,,3,4,28,, 
461,QUESPP,Quercus species -- Oaks,1,24,,,3,4,28,, 
462,QUST,Quercus stellata -- Post oak,1,23,,,3,4,28,, 
463,QUSTA2,Quercus stellata -- Post oak,1,23,,,3,4,28,, 
464,QUSTP2,Quercus stellata -- Post oak,1,23,,,3,4,28,, 
465,QUVE,Quercus velutina -- Black oak,1,24,,,3,4,28,, 
466,QUVEM,Quercus velutina -- Black oak,1,24,,,3,4,28,, 
467,QUVI,Quercus virginiana -- Live oak,1,22,,,,4,28,, 
468,QUWI2,Quercus wislizeni -- Interior live oak,1,13,,2,,,28,, 
469,QUWIF,Quercus wislizeni -- Interior live oak,1,13,,2,,,28,, 
470,QUWIW,Quercus wislizeni -- Interior live oak,1,13,,2,,,28,, 
471,ROPS,Robinia pseudoacacia -- Black locust,1,28,,,3,4,39,, 
472,SABE2,Salix bebbiana -- Bebb willow,1,19,,,3,,37,, 
473,SABED,Salix bebbiana -- Bebb willow,1,19,,,3,,37,, 
474,SABEL,Salix bebbiana -- Bebb willow,1,19,,,3,,37,, 
475,SABEP,Salix bebbiana -- Bebb willow,1,19,,,3,,37,, 
476,SABEP2,Salix bebbiana -- Bebb willow,1,19,,,3,,37,, 
477,SANI,Salix nigra -- Black willow,1,19,,,3,4,37,, 
478,SANIA2,Salix nigra -- Black willow,1,19,,,3,4,37,, 
479,SANIB,Salix nigra -- Black willow,1,19,,,3,4,37,, 
480,SANIB2,Salix nigra -- Black willow,1,19,,,3,4,37,, 
481,SANIF2,Salix nigra -- Black willow,1,19,,,3,4,37,, 
482,SANIA2,Salix nigra -- Black willow,1,19,,,3,4,37,, 
483,SANIL2,Salix nigra -- Black willow,1,19,,,3,4,37,, 
484,SANIL3,Salix nigra -- Black willow,1,19,,,3,4,37,, 
485,SANIM2,Salix nigra -- Black willow,1,19,,,3,4,37,, 
486,SALSPP,Salix species -- Willows,1,20,,2,3,4,37,, 
487,SAAL5,Sassafras albidum -- Sassafras,1,14,,,3,4,39,, 
488,SEGI2,Sequoia gigantea -- Giant sequoia,1,39,,2,,,17,, 
489,SEGI3,Sequoia gigantea -- Giant sequoia,1,39,,2,,,17,, 
490,SESE3,Sequoia sempervirens -- Redwood,1,39,,2,,,17,, 
491,SOAM3,Sorbus americana -- American mountain-ash,1,19,,,3,,39,, 
492,TABR2,Taxus brevifolia -- Pacific yew,1,4,1,2,,,33,, 
493,TADI2,Taxodium distichum -- Bald cypress,1,4,,,3,4,39,, 
494,TAAS,Taxodium ascendens -- Pond cypress,1,21,,,,4,39,, 
495,TADII,Taxodium ascendens -- Pond cypress,1,21,,,,4,39,, 
496,TADIN,Taxodium ascendens -- Pond cypress,1,21,,,,4,39,, 
497,THOC2,Thuja occidentalis -- arborvitae,1,4,,,3,4,18,, 
498,THOCF,Thuja occidentalis -- arborvitae,1,4,,,3,4,18,, 
499,THOCN,Thuja occidentalis -- arborvitae,1,4,,,3,4,18,, 
500,THOCP3,Thuja occidentalis -- arborvitae,1,4,,,3,4,18,, 
501,THOCM3,Thuja occidentalis -- arborvitae,1,4,,,3,4,18,, 
502,THPL,Thuja plicata -- Western redcedar,1,14,1,2,,,18,, 
503,THUSPP,Thuju species -- Arborvitae,1,12,,,3,4,18,, 
504,TIAM,Tilia americana -- American basswod,1,17,,,3,4,39,, 
505,TIAMA,Tilia americana -- American basswod,1,17,,,3,4,39,, 
506,TIAMC,Tilia americana -- Carolina basswod,1,17,,,3,4,39,, 
507,TIAMH,Tilia americana -- American basswod,1,29,,,3,4,39,, 
508,TIAMN,Tilia americana -- American basswod,1,17,,,3,4,39,, 
509,TIHE,Tilia heterophylla -- White basswood,1,29,,,3,4,39,, 
510,TSCA,Tsuga canadensis -- Eastern hemlock,1,18,,,3,4,19,, 
511,TSHE,Tsuga heterophylla -- Western hemlock,1,19,1,2,,,19,, 
512,TSME,Tsuga mertensiana -- Mountain hemlock,1,19,1,2,,,20,, 
513,ULAL,Ulmus alata -- Winged elm,1,10,,,3,4,39,, 
514,ULAM,Ulmus americana -- American elm,1,10,,,3,4,39,, 
515,ULAMF2,Ulmus americana -- American elm,1,10,,,3,4,39,, 
516,ULPU,Ulmus pumila -- Siberian elm,1,17,,,3,4,39,, 
517,ULRU,Ulmus rubra -- Slippery elm,1,11,,,3,4,39,, 
518,ULMSPP,Ulmus species -- Elms,1,18,,,3,4,39,, 
519,ULTH,Ulmus thomasii -- Rock elm,1,12,,,3,4,39,, 
520,ULRA,Ulmus racemosa -- Rock elm,1,12,,,3,4,39,, 
521,UMCA,Umbellularia californica -- California-laurel,1,5,,2,,,39,, 
522,UMCAC,Umbellularia californica -- California-laurel,1,5,,2,,,39,, 
523,UMCAF,Umbellularia californica -- California-laurel,1,5,,2,,,39,, 
